epoch,train_loss,val_loss,val_ppl,train_time_s,peak_mem_mb,lr
1,7.805812,6.335985,564.5250,96.37,3107.0,0.000300
2,5.984937,5.854176,348.6874,96.67,3107.0,0.000298
3,5.561725,5.617279,275.1397,96.78,3107.0,0.000293
4,5.293921,5.481070,240.1035,96.84,3107.0,0.000284
5,5.095232,5.381511,217.3504,96.84,3107.0,0.000272
6,4.936183,5.316307,203.6304,97.00,3107.0,0.000256
7,4.804838,5.257583,192.0168,97.20,3107.0,0.000239
8,4.693169,5.218743,184.7019,96.88,3107.0,0.000219
9,4.599418,5.194599,180.2959,96.89,3107.0,0.000198
10,4.515962,5.178315,177.3837,97.16,3107.0,0.000176
11,4.444251,5.159092,174.0063,97.13,3107.0,0.000154
12,4.382148,5.162229,174.5530,97.19,3107.0,0.000132
13,4.326876,5.141528,170.9769,97.11,3107.0,0.000111
14,4.279304,5.144458,171.4785,97.30,3107.0,0.000091
15,4.238263,5.136112,170.0534,97.13,3107.0,0.000074
16,4.204000,5.140384,170.7814,96.96,3107.0,0.000058
17,4.175195,5.138242,170.4159,97.19,3107.0,0.000046
18,4.152950,5.140140,170.7397,97.32,3107.0,0.000037
19,4.135316,5.139431,170.6187,97.06,3107.0,0.000032
20,4.122532,5.138368,170.4373,97.30,3107.0,0.000030
