epoch,train_loss,val_loss,val_ppl,train_time_s,peak_mem_mb,lr
1,7.817168,6.442039,627.6856,83.97,2994.1,0.000300
2,6.116945,6.009555,407.3021,91.43,2994.1,0.000298
3,5.738031,5.789952,326.9973,92.32,2994.1,0.000293
4,5.491169,5.634897,280.0301,92.61,2994.1,0.000284
5,5.304200,5.534054,253.1682,92.60,2994.1,0.000272
6,5.151442,5.456693,234.3213,92.75,2994.1,0.000256
7,5.024773,5.403106,222.0952,92.98,2994.1,0.000239
8,4.919173,5.352966,211.2339,92.96,2994.1,0.000219
9,4.828342,5.320640,204.5148,92.77,2994.1,0.000198
10,4.750608,5.281936,196.7504,92.95,2994.1,0.000176
11,4.683517,5.262718,193.0054,92.88,2994.1,0.000154
12,4.624103,5.243374,189.3077,92.83,2994.1,0.000132
13,4.572830,5.228363,186.4873,92.96,2994.1,0.000111
14,4.528073,5.214442,183.9092,92.71,2994.1,0.000091
15,4.489255,5.207821,182.6955,92.81,2994.1,0.000074
16,4.457097,5.193307,180.0631,92.88,2994.1,0.000058
17,4.431146,5.192178,179.8599,92.93,2994.1,0.000046
18,4.410144,5.188455,179.1914,92.96,2994.1,0.000037
19,4.393790,5.181737,177.9918,92.76,2994.1,0.000032
20,4.382219,5.183069,178.2290,92.91,2994.1,0.000030
